year,month,treatment,age_grp_twenty,N_ID
2015,8,2,1,198
2015,8,2,2,16574
2015,8,2,3,10835
2015,8,2,4,1204
2015,8,2,5,-1
2015,8,3,.,26
2015,8,3,1,144
2015,8,3,2,2377
2015,8,3,3,1660
2015,8,3,4,263
2015,8,3,5,-1
2016,8,1,.,43
2016,8,1,1,34
2016,8,1,2,10086
2016,8,1,3,5859
2016,8,1,4,796
2016,8,1,5,-1
2016,8,2,.,119
2016,8,2,1,173
2016,8,2,2,17975
2016,8,2,3,12599
2016,8,2,4,1586
2016,8,2,5,-1
2016,8,3,.,26
2016,8,3,1,133
2016,8,3,2,2808
2016,8,3,3,1858
2016,8,3,4,286
2016,8,3,5,-1
2017,8,1,.,36
2017,8,1,1,46
2017,8,1,2,11405
2017,8,1,3,7403
2017,8,1,4,1108
2017,8,1,5,-1
2017,8,2,.,131
2017,8,2,1,121
2017,8,2,2,18688
2017,8,2,3,14239
2017,8,2,4,2098
2017,8,2,5,-1
2017,8,3,.,30
2017,8,3,1,120
2017,8,3,2,3300
2017,8,3,3,2541
2017,8,3,4,538
2017,8,3,5,-1
2018,8,1,.,47
2018,8,1,1,44
2018,8,1,2,11180
2018,8,1,3,7839
2018,8,1,4,1290
2018,8,1,5,-1
2018,8,2,.,105
2018,8,2,1,108
2018,8,2,2,19134
2018,8,2,3,15611
2018,8,2,4,2757
2018,8,2,5,-1
2018,8,3,.,18
2018,8,3,1,112
2018,8,3,2,3011
2018,8,3,3,2612
2018,8,3,4,605
2018,8,3,5,-1
2019,8,1,.,60
2019,8,1,1,38
2019,8,1,2,10928
2019,8,1,3,8123
2019,8,1,4,1457
2019,8,1,5,-1
2019,8,2,.,99
2019,8,2,1,107
2019,8,2,2,19581
2019,8,2,3,17176
2019,8,2,4,3387
2019,8,2,5,18
2019,8,3,.,22
2019,8,3,1,102
2019,8,3,2,2917
2019,8,3,3,2785
2019,8,3,4,807
2019,8,3,5,-1
2020,8,1,.,47
2020,8,1,1,27
2020,8,1,2,10831
2020,8,1,3,8699
2020,8,1,4,1719
2020,8,1,5,-1
2020,8,2,.,123
2020,8,2,1,97
2020,8,2,2,19090
2020,8,2,3,18587
2020,8,2,4,3962
2020,8,2,5,19
2020,8,3,.,33
2020,8,3,1,112
2020,8,3,2,2668
2020,8,3,3,2940
2020,8,3,4,915
2020,8,3,5,13
2021,8,1,.,37
2021,8,1,1,27
2021,8,1,2,10860
2021,8,1,3,9428
2021,8,1,4,1843
2021,8,1,5,-1
2021,8,2,.,123
2021,8,2,1,113
2021,8,2,2,17623
2021,8,2,3,19137
2021,8,2,4,4615
2021,8,2,5,31
2021,8,3,.,50
2021,8,3,1,139
2021,8,3,2,2963
2021,8,3,3,3405
2021,8,3,4,1081
2021,8,3,5,17
2022,8,1,.,29
2022,8,1,1,28
2022,8,1,2,10047
2022,8,1,3,9821
2022,8,1,4,1938
2022,8,1,5,-1
2022,8,2,.,136
2022,8,2,1,116
2022,8,2,2,16276
2022,8,2,3,19688
2022,8,2,4,5217
2022,8,2,5,38
2022,8,3,.,66
2022,8,3,1,139
2022,8,3,2,2813
2022,8,3,3,3391
2022,8,3,4,1202
2022,8,3,5,23
2015,9,1,.,42
2015,9,1,1,54
2015,9,1,2,9717
2015,9,1,3,5429
2015,9,1,4,683
2015,9,1,5,-1
2015,9,2,.,100
2015,9,2,1,198
2015,9,2,2,16752
2015,9,2,3,10886
2015,9,2,4,1205
2015,9,2,5,-1
2015,9,3,.,24
2015,9,3,1,145
2015,9,3,2,2343
2015,9,3,3,1703
2015,9,3,4,266
2015,9,3,5,-1
2016,9,1,.,46
2016,9,1,1,40
2016,9,1,2,10163
2016,9,1,3,5894
2016,9,1,4,800
2016,9,1,5,-1
2016,9,2,.,125
2016,9,2,1,168
2016,9,2,2,18153
2016,9,2,3,12747
2016,9,2,4,1602
2016,9,2,5,-1
2016,9,3,.,27
2016,9,3,1,140
2016,9,3,2,2861
2016,9,3,3,1835
2016,9,3,4,286
2016,9,3,5,-1
2017,9,1,.,36
2017,9,1,1,47
2017,9,1,2,11332
2017,9,1,3,7414
2017,9,1,4,1096
2017,9,1,5,-1
2017,9,2,.,135
2017,9,2,1,135
2017,9,2,2,18710
2017,9,2,3,14231
2017,9,2,4,2116
2017,9,2,5,-1
2017,9,3,.,30
